Date,Price,Open,High,Low,Volume,Change
10/27/2023,89.2,87.48,89.43,86.82,375.68K,2.47
10/26/2023,87.05,88.83,89.27,86.5,358.87K,-2.32
10/25/2023,89.12,87.16,89.31,85.77,432.68K,2.25
10/24/2023,87.16,89.37,89.49,86.38,340.64K,-1.73
10/23/2023,88.69,90.98,91.15,88.56,249.65K,-3.77
10/20/2023,92.16,93.23,93.79,91.66,272.72K,-0.24
10/19/2023,92.38,91.35,93.48,89.57,309.00K,0.96
10/18/2023,91.5,91.25,93.0,90.6,348.19K,1.78
10/17/2023,89.9,89.91,91.0,88.88,252.83K,0.28
10/16/2023,89.65,90.98,91.39,89.5,283.25K,-1.36
10/13/2023,90.89,86.35,91.0,86.28,424.71K,5.69
10/12/2023,86.0,85.53,87.64,85.18,370.44K,0.21
10/11/2023,85.82,87.72,88.26,85.21,402.31K,-2.09
10/10/2023,87.65,88.17,88.49,86.91,352.11K,-0.57
10/09/2023,88.15,86.45,89.0,86.0,412.76K,4.22
10/06/2023,84.58,84.49,84.95,83.44,424.46K,0.61
10/05/2023,84.07,85.88,86.52,83.84,510.68K,-2.03
10/04/2023,85.81,91.04,91.21,85.75,525.56K,-5.62
10/03/2023,90.92,90.4,91.56,89.5,437.64K,0.23
10/02/2023,90.71,92.18,93.33,90.35,423.48K,-4.83
09/29/2023,95.31,95.07,96.26,94.9,12.84K,-0.07
09/28/2023,95.38,96.74,97.69,94.76,91.45K,-1.21
09/27/2023,96.55,94.12,97.06,94.1,146.72K,2.76
09/26/2023,93.96,93.28,94.21,91.8,169.45K,0.72
09/25/2023,93.29,93.75,94.25,92.54,177.62K,0.02
09/22/2023,93.27,93.37,94.64,92.8,240.04K,-0.03
09/21/2023,93.3,93.08,94.6,92.2,314.69K,-0.25
09/20/2023,93.53,94.49,94.72,92.76,330.59K,-0.86
09/19/2023,94.34,94.66,95.96,94.16,403.40K,-0.1
09/18/2023,94.43,94.28,94.95,93.79,337.78K,0.53
09/15/2023,93.93,94.02,94.63,92.67,316.90K,0.25
09/14/2023,93.7,92.04,94.21,92.02,310.00K,1.98
09/13/2023,91.88,92.04,92.84,91.63,302.75K,-0.2
09/12/2023,92.06,90.62,92.4,90.52,336.57K,1.57
09/11/2023,90.64,90.83,91.45,90.11,303.42K,-0.01
09/08/2023,90.65,89.79,91.02,89.3,298.14K,0.81
09/07/2023,89.92,90.81,90.89,89.46,213.02K,-0.75
09/06/2023,90.6,90.12,91.1,89.25,282.91K,0.62
09/05/2023,90.04,88.91,91.15,88.06,428.45K,1.17
09/04/2023,89.0,88.95,89.22,88.26,140.67K,0.51
09/01/2023,88.55,86.82,88.99,86.74,380.76K,1.95
08/31/2023,86.86,86.0,86.94,85.74,11.27K,1.16
08/30/2023,85.86,85.62,86.23,85.11,86.74K,0.43
08/29/2023,85.49,84.39,85.65,83.8,115.36K,1.27
08/28/2023,84.42,84.87,85.23,84.11,88.35K,-0.07
08/25/2023,84.48,83.26,84.97,82.67,230.35K,1.34
08/24/2023,83.36,82.95,83.62,81.97,253.84K,0.18
08/23/2023,83.21,83.99,84.26,81.94,361.61K,-0.98
08/22/2023,84.03,84.46,84.66,83.85,287.35K,-0.51
