Date,Price,Open,High,Low,Change
10/27/2023,1354.91,1353.57,1358.34,1347.76,0.16
10/26/2023,1352.69,1352.9,1360.72,1351.7,0.02
10/25/2023,1352.44,1344.34,1354.15,1343.22,0.64
10/24/2023,1343.88,1343.69,1347.76,1340.23,0.13
10/23/2023,1342.12,1350.34,1355.31,1342.7,-0.52
10/20/2023,1349.08,1357.11,1359.78,1349.18,-0.51
10/19/2023,1356.02,1355.48,1360.86,1352.65,0.16
10/18/2023,1353.86,1353.55,1358.31,1347.54,0.07
10/17/2023,1352.98,1348.25,1357.92,1347.13,0.38
10/16/2023,1347.91,1353.08,1356.62,1347.69,-0.32
10/13/2023,1352.21,1349.4,1353.95,1347.19,0.24
10/12/2023,1348.96,1339.54,1351.63,1335.28,0.79
10/11/2023,1338.42,1342.62,1343.91,1337.07,-0.22
10/10/2023,1341.33,1347.67,1352.16,1341.92,-0.38
10/09/2023,1346.51,1344.51,1354.99,1344.17,0.14
10/06/2023,1344.61,1346.34,1357.1,1342.78,-0.08
10/05/2023,1345.72,1352.55,1354.43,1344.94,-0.44
10/04/2023,1351.62,1362.05,1364.12,1350.01,-0.7
10/03/2023,1361.08,1357.14,1363.75,1354.97,0.39
10/02/2023,1355.84,1352.65,1359.72,1349.2,0.26
09/29/2023,1352.31,1350.56,1353.68,1341.73,0.2
09/28/2023,1349.56,1355.47,1357.75,1347.39,-0.37
09/27/2023,1354.54,1354.1,1360.16,1347.32,0.12
09/26/2023,1352.93,1339.69,1354.97,1337.31,1.12
09/25/2023,1338.01,1335.56,1341.47,1330.14,0.3
09/22/2023,1334.03,1339.57,1341.81,1330.74,-0.37
09/21/2023,1339.0,1333.44,1344.65,1331.67,0.46
09/20/2023,1332.92,1328.99,1335.94,1323.63,0.32
09/19/2023,1328.62,1324.05,1329.47,1319.43,0.38
09/18/2023,1323.57,1329.42,1330.06,1322.69,-0.37
09/15/2023,1328.46,1330.02,1330.83,1324.49,-0.08
09/14/2023,1329.52,1328.2,1331.11,1323.11,0.22
09/13/2023,1326.59,1326.72,1332.05,1323.66,0.03
09/12/2023,1326.15,1326.05,1329.44,1323.05,0.05
09/11/2023,1325.49,1336.34,1336.44,1325.18,-0.71
09/08/2023,1334.96,1334.78,1337.75,1331.49,0.11
09/07/2023,1333.45,1334.53,1339.07,1330.48,-0.01
09/06/2023,1333.58,1329.95,1337.99,1328.42,0.34
09/05/2023,1329.05,1318.41,1335.68,1316.81,0.9
09/04/2023,1317.21,1318.45,1322.0,1315.59,-0.03
09/01/2023,1317.55,1325.46,1326.37,1311.88,-0.57
08/31/2023,1325.14,1323.79,1326.86,1320.0,0.12
08/30/2023,1323.49,1318.6,1326.22,1318.53,0.41
08/29/2023,1318.06,1324.21,1329.14,1318.13,-0.43
08/28/2023,1323.81,1324.57,1327.77,1319.1,0.02
08/25/2023,1323.53,1328.34,1330.61,1319.82,-0.29
08/24/2023,1327.35,1327.92,1330.24,1317.88,0.07
08/23/2023,1326.42,1340.81,1342.31,1326.69,-1.0
08/22/2023,1339.81,1340.04,1342.58,1334.09,0.05
08/21/2023,1339.15,1340.17,1344.83,1338.05,0.0
08/18/2023,1339.17,1339.76,1344.81,1332.44,-0.01
08/17/2023,1339.27,1341.94,1344.35,1334.99,-0.15
08/16/2023,1341.22,1336.87,1345.77,1334.01,0.36
08/15/2023,1336.42,1337.94,1340.47,1332.55,-0.03
08/14/2023,1336.8,1330.6,1339.72,1327.69,0.49
08/11/2023,1330.3,1318.14,1333.92,1316.17,1.02
08/10/2023,1316.9,1313.1,1319.91,1308.18,0.29
08/09/2023,1313.08,1317.02,1322.29,1309.7,-0.28
08/08/2023,1316.72,1307.93,1322.69,1305.2,0.72
08/07/2023,1307.3,1304.29,1309.06,1298.8,0.25
08/04/2023,1304.08,1299.93,1312.38,1296.82,0.39
08/03/2023,1299.01,1299.47,1304.23,1294.55,0.01
08/02/2023,1298.93,1289.4,1303.09,1286.94,0.77
08/01/2023,1289.0,1278.28,1291.1,1274.88,0.87
07/31/2023,1277.86,1273.33,1279.42,1269.82,0.4
07/28/2023,1272.83,1284.17,1284.89,1273.28,-0.85
07/27/2023,1283.78,1271.42,1284.94,1266.98,1.02
07/26/2023,1270.8,1276.58,1282.78,1268.14,-0.42
07/25/2023,1276.18,1280.88,1285.61,1273.79,-0.33
07/24/2023,1280.45,1286.65,1288.98,1277.03,-0.45
07/21/2023,1286.19,1277.13,1290.69,1275.92,0.76
07/20/2023,1276.53,1267.94,1280.3,1261.56,0.76
07/19/2023,1266.94,1265.31,1269.46,1261.67,0.16
07/18/2023,1264.95,1263.72,1267.55,1256.71,0.14
07/17/2023,1263.17,1269.32,1271.08,1263.31,-0.41
07/14/2023,1268.31,1267.16,1271.49,1259.82,0.12
07/13/2023,1266.73,1274.8,1280.03,1265.92,-0.61
07/12/2023,1274.49,1291.87,1296.08,1273.7,-1.31
07/11/2023,1291.47,1299.8,1302.0,1289.94,-0.61
07/10/2023,1299.4,1299.1,1307.9,1298.25,0.12
07/07/2023,1297.9,1309.46,1310.59,1295.96,-0.86
07/06/2023,1309.11,1304.0,1314.69,1299.98,0.42
07/05/2023,1303.59,1294.81,1306.51,1294.41,0.71
07/04/2023,1294.35,1304.66,1308.34,1293.04,-0.76
07/03/2023,1304.2,1316.97,1317.31,1302.69,-0.83
06/30/2023,1315.11,1323.18,1324.54,1314.57,-0.54
06/29/2023,1322.21,1309.31,1323.57,1305.18,1.02
06/28/2023,1308.9,1299.48,1313.46,1297.3,0.75
06/27/2023,1299.18,1305.42,1308.35,1295.35,-0.44
06/26/2023,1304.98,1308.74,1309.57,1300.82,-0.26
06/23/2023,1308.41,1298.59,1311.37,1296.25,0.79
06/22/2023,1298.18,1288.74,1303.21,1286.1,0.76
06/21/2023,1288.33,1288.74,1296.95,1285.94,0.01
06/20/2023,1288.23,1283.26,1290.36,1277.99,0.47
06/19/2023,1282.26,1277.24,1284.54,1276.4,0.48
06/16/2023,1276.15,1270.4,1280.96,1268.08,0.48
06/15/2023,1270.0,1274.39,1286.48,1269.8,-0.31
06/14/2023,1274.01,1268.02,1280.42,1265.75,0.5
06/13/2023,1267.7,1284.86,1285.88,1267.07,-1.31
06/12/2023,1284.54,1287.69,1294.65,1282.8,-0.22
06/09/2023,1287.32,1296.59,1298.65,1286.58,-0.63
06/08/2023,1295.47,1308.66,1309.3,1296.15,-0.98
06/07/2023,1308.26,1299.61,1309.44,1296.23,0.7
06/06/2023,1299.19,1301.08,1304.31,1295.74,-0.12
06/05/2023,1300.78,1306.06,1311.02,1300.57,-0.39
06/02/2023,1305.92,1313.18,1314.48,1298.61,-0.51
06/01/2023,1312.64,1322.33,1325.07,1312.41,-0.6
05/31/2023,1320.56,1320.16,1328.75,1315.56,0.06
05/30/2023,1319.76,1324.96,1327.01,1316.9,-0.33
05/29/2023,1324.07,1323.43,1326.76,1320.98,0.11
05/26/2023,1322.66,1331.2,1331.93,1322.72,-0.64
05/25/2023,1331.19,1318.77,1332.06,1316.49,0.97
05/24/2023,1318.43,1320.26,1322.18,1314.28,-0.06
05/23/2023,1319.21,1314.17,1322.53,1307.65,0.42
05/22/2023,1313.75,1325.21,1326.34,1313.06,-0.86
05/19/2023,1325.2,1333.99,1335.94,1323.3,-0.69
05/18/2023,1334.43,1334.71,1338.79,1329.16,0.01
05/17/2023,1334.23,1342.78,1343.91,1332.44,-0.6
05/16/2023,1342.35,1335.79,1343.63,1332.91,0.52
05/15/2023,1335.36,1342.48,1342.85,1333.86,-0.53
05/12/2023,1342.41,1331.14,1343.35,1329.04,0.87
05/11/2023,1330.83,1318.21,1334.74,1315.58,0.99
05/10/2023,1317.76,1326.33,1327.13,1316.5,-0.62
05/09/2023,1325.92,1322.71,1327.36,1319.61,0.34
05/08/2023,1321.49,1317.96,1326.23,1317.94,0.31
05/05/2023,1317.47,1323.27,1323.74,1315.11,-0.41
05/04/2023,1322.95,1335.41,1335.99,1320.29,-0.86
05/03/2023,1334.44,1342.64,1343.21,1329.31,-0.58
05/02/2023,1342.21,1343.07,1344.08,1337.36,0.0
05/01/2023,1342.18,1338.17,1343.95,1336.43,0.33
04/28/2023,1337.78,1339.57,1342.19,1336.21,-0.1
04/27/2023,1339.17,1338.44,1346.63,1336.69,0.09
04/26/2023,1338.01,1341.31,1341.95,1334.47,-0.21
04/25/2023,1340.89,1332.94,1344.19,1328.19,0.63
04/24/2023,1332.51,1330.38,1337.64,1328.48,0.24
04/21/2023,1329.36,1324.04,1333.07,1321.24,0.43
04/20/2023,1323.61,1330.14,1332.97,1318.97,-0.46
04/19/2023,1329.71,1319.55,1336.54,1313.69,0.8
04/18/2023,1319.13,1319.51,1321.44,1315.72,0.0
04/17/2023,1319.11,1304.38,1322.67,1303.7,1.16
04/14/2023,1304.0,1301.94,1307.83,1294.29,0.22
04/13/2023,1301.14,1323.07,1327.66,1299.31,-1.62
04/12/2023,1322.63,1322.45,1328.49,1319.39,0.05
