Date,Price,Open,High,Low,Change
10/27/2023,185.16,185.02,185.63,184.23,0.15
10/26/2023,184.88,184.89,185.93,184.73,0.04
10/25/2023,184.81,183.9,185.07,183.75,0.54
10/24/2023,183.82,183.66,184.37,183.4,0.2
10/23/2023,183.45,184.57,185.21,183.53,-0.5
10/20/2023,184.37,185.57,185.94,184.4,-0.55
10/19/2023,185.39,185.29,185.99,184.95,0.18
10/18/2023,185.06,185.1,185.64,184.39,0.05
10/17/2023,184.96,184.41,185.66,184.26,0.33
10/16/2023,184.36,185.21,185.54,184.34,-0.38
10/13/2023,185.06,184.78,185.32,184.46,0.19
10/12/2023,184.7,183.49,185.09,182.97,0.75
10/11/2023,183.32,184.02,184.21,183.23,-0.27
10/10/2023,183.82,184.81,185.5,183.93,-0.47
10/09/2023,184.68,184.14,185.78,184.1,0.29
10/06/2023,184.14,184.39,185.87,183.9,-0.08
10/05/2023,184.29,185.21,185.5,184.2,-0.44
10/04/2023,185.1,186.54,186.83,184.9,-0.7
10/03/2023,186.4,185.88,186.77,185.57,0.39
10/02/2023,185.68,185.26,186.23,184.79,0.29
09/29/2023,185.14,184.97,185.4,183.76,0.17
09/28/2023,184.82,185.4,185.84,184.54,-0.24
09/27/2023,185.26,185.21,186.04,184.45,0.15
09/26/2023,184.98,183.22,185.34,182.9,1.1
09/25/2023,182.97,182.99,183.49,182.24,0.11
09/22/2023,182.77,183.3,183.62,182.26,-0.23
09/21/2023,183.2,182.96,183.99,182.72,0.18
09/20/2023,182.87,182.12,183.31,181.62,0.44
09/19/2023,182.06,181.58,182.22,180.95,0.3
09/18/2023,181.51,182.74,182.83,181.49,-0.6
09/15/2023,182.61,182.74,183.27,182.12,-0.02
09/14/2023,182.65,182.67,182.96,181.92,0.12
09/13/2023,182.43,181.95,182.94,181.52,0.32
09/12/2023,181.85,181.92,182.38,181.52,0.02
09/11/2023,181.81,181.96,183.12,181.5,0.03
09/08/2023,181.75,182.12,182.34,181.33,-0.09
09/07/2023,181.92,182.38,182.85,181.71,-0.16
09/06/2023,182.22,182.07,183.17,181.71,0.16
09/05/2023,181.93,181.27,182.85,181.05,0.43
09/04/2023,181.15,181.57,182.05,181.13,-0.15
09/01/2023,181.42,182.6,182.73,181.01,-0.61
08/31/2023,182.54,181.71,182.79,181.18,0.5
08/30/2023,181.64,181.11,181.91,181.1,0.35
08/29/2023,181.01,181.63,182.2,181.04,-0.31
08/28/2023,181.57,181.7,182.07,180.95,0.02
08/25/2023,181.53,182.49,182.68,181.09,-0.44
08/24/2023,182.33,182.45,182.76,181.07,0.07
08/23/2023,182.2,183.82,184.05,182.27,-0.79
08/22/2023,183.65,183.88,184.29,183.04,-0.04
08/21/2023,183.72,184.05,184.41,183.38,-0.08
08/18/2023,183.87,183.74,184.49,182.74,0.11
08/17/2023,183.66,183.87,184.2,183.17,-0.05
08/16/2023,183.75,183.55,184.39,182.98,0.16
08/15/2023,183.46,184.29,184.38,182.87,-0.42
08/14/2023,184.23,183.83,184.49,183.01,0.26
08/11/2023,183.75,182.62,184.29,182.34,0.73
08/10/2023,182.41,182.13,183.04,181.46,0.18
08/09/2023,182.08,182.48,183.31,181.97,-0.17
08/08/2023,182.39,181.84,183.22,181.46,0.37
08/07/2023,181.72,181.89,182.41,180.65,-0.07
08/04/2023,181.85,181.4,182.68,180.96,0.34
08/03/2023,181.24,180.69,181.6,180.01,0.35
08/02/2023,180.6,179.64,181.15,179.29,0.57
08/01/2023,179.58,178.96,180.04,178.49,0.38
07/31/2023,178.9,178.1,179.09,177.84,0.49
07/28/2023,178.02,179.0,179.12,178.1,-0.5
07/27/2023,178.92,177.79,179.3,177.24,0.69
07/26/2023,177.69,178.88,179.57,177.34,-0.6
07/25/2023,178.77,178.24,179.3,177.86,0.35
07/24/2023,178.15,179.01,179.33,177.7,-0.42
07/21/2023,178.9,177.93,179.65,177.76,0.61
07/20/2023,177.81,175.45,178.38,174.62,1.44
07/19/2023,175.28,176.23,176.53,175.1,-0.49
07/18/2023,176.14,176.2,176.63,175.23,0.02
07/17/2023,176.1,177.74,177.95,176.15,-0.83
07/14/2023,177.58,177.2,178.02,176.59,0.26
07/13/2023,177.12,177.89,178.62,176.87,-0.4
07/12/2023,177.83,179.17,180.3,177.74,-0.7
07/11/2023,179.09,179.73,180.04,179.01,-0.32
07/10/2023,179.66,179.9,180.66,179.55,-0.03
07/07/2023,179.72,180.6,180.93,179.46,-0.45
07/06/2023,180.54,179.93,181.3,179.37,0.38
07/05/2023,179.85,179.47,180.65,179.13,0.25
07/04/2023,179.4,180.18,180.69,179.21,-0.39
07/03/2023,180.1,181.6,181.64,179.9,-0.67
06/30/2023,181.31,182.45,182.63,181.26,-0.54
06/29/2023,182.29,180.74,182.66,180.16,0.9
06/28/2023,180.66,179.98,181.24,179.68,0.42
06/27/2023,179.91,180.37,180.86,179.49,-0.21
06/26/2023,180.28,182.29,182.4,180.24,-1.05
06/23/2023,182.2,180.88,182.65,180.55,0.79
06/22/2023,180.78,179.51,181.51,179.14,0.76
06/21/2023,179.41,179.46,180.46,179.06,0.02
06/20/2023,179.37,179.19,179.78,178.13,0.18
06/19/2023,179.04,179.23,179.89,178.74,0.01
06/16/2023,179.03,178.4,179.75,178.07,0.4
06/15/2023,178.31,177.9,179.23,177.54,0.29
06/14/2023,177.79,176.9,178.76,176.58,0.55
06/13/2023,176.82,179.81,179.96,176.84,-1.61
06/12/2023,179.72,180.63,181.34,179.61,-0.46
06/09/2023,180.55,182.3,182.6,180.49,-0.86
06/08/2023,182.11,183.56,183.65,182.24,-0.75
06/07/2023,183.49,182.54,183.67,182.07,0.56
06/06/2023,182.47,183.18,183.48,182.32,-0.35
06/05/2023,183.11,184.35,185.05,182.88,-0.63
06/02/2023,184.27,185.1,185.29,183.96,-0.37
06/01/2023,184.95,185.94,186.41,184.99,-0.39
05/31/2023,185.67,186.46,186.96,185.74,-0.39
05/30/2023,186.39,187.32,187.41,186.01,-0.42
05/29/2023,187.17,187.33,187.8,186.82,-0.01
05/26/2023,187.18,188.05,188.32,186.99,-0.45
05/25/2023,188.03,186.77,188.31,186.45,0.72
05/24/2023,186.68,187.1,187.41,186.34,-0.13
05/23/2023,186.92,186.79,187.49,185.8,0.11
05/22/2023,186.71,189.1,189.26,186.68,-1.24
05/19/2023,189.05,189.6,189.84,188.43,-0.31
05/18/2023,189.64,190.71,191.1,189.46,-0.52
05/17/2023,190.63,192.41,192.57,190.38,-0.89
05/16/2023,192.35,192.13,192.55,191.71,0.15
05/15/2023,192.06,192.93,192.99,191.71,-0.44
05/12/2023,192.9,191.57,193.06,191.26,0.73
05/11/2023,191.5,190.13,192.15,189.75,0.77
05/10/2023,190.03,191.65,191.77,190.05,-0.81
05/09/2023,191.58,191.35,192.01,190.65,0.21
05/08/2023,191.17,190.72,191.91,190.7,0.28
05/05/2023,190.63,191.6,191.66,190.35,-0.47
05/04/2023,191.53,193.2,193.29,191.13,-0.78
05/03/2023,193.03,194.24,194.32,192.32,-0.58
05/02/2023,194.15,194.31,194.46,193.48,0.0
05/01/2023,194.15,193.6,194.43,193.35,0.33
04/28/2023,193.51,193.48,194.01,193.17,0.07
04/27/2023,193.37,193.23,194.34,192.98,0.12
04/26/2023,193.14,193.48,193.63,192.77,-0.14
04/25/2023,193.41,193.28,193.99,192.59,0.11
04/24/2023,193.2,192.99,193.75,192.71,0.21
04/21/2023,192.8,192.64,193.4,192.24,0.12
04/20/2023,192.56,193.17,193.59,191.6,-0.27
04/19/2023,193.09,191.9,193.76,191.05,0.66
04/18/2023,191.83,191.79,192.15,191.32,0.07
04/17/2023,191.7,189.83,192.3,189.73,1.05
04/14/2023,189.71,189.57,190.4,188.93,0.13
04/13/2023,189.46,192.46,193.12,189.18,-1.5
04/12/2023,192.34,192.02,192.97,191.61,0.2
04/11/2023,191.95,191.96,192.36,191.21,0.04
04/10/2023,191.88,191.6,192.59,191.45,0.18
04/07/2023,191.53,191.83,192.05,191.26,-0.11
04/06/2023,191.74,191.49,192.22,191.09,0.18
04/05/2023,191.39,190.49,191.63,190.23,0.54
04/04/2023,190.37,190.27,191.43,189.66,0.07
04/03/2023,190.23,190.2,191.85,190.09,0.06
03/31/2023,190.11,188.74,190.49,187.82,0.77
03/30/2023,188.65,189.79,189.95,188.57,-0.45
03/29/2023,189.5,188.73,189.99,188.35,0.45
03/28/2023,188.65,188.57,189.18,187.84,0.1
03/27/2023,188.47,188.59,189.73,188.38,-0.01
03/24/2023,188.49,188.66,190.11,187.96,-0.04
03/23/2023,188.57,188.58,189.01,186.5,-0.02
03/22/2023,188.61,189.39,190.21,187.27,-0.36
03/21/2023,189.29,189.56,190.65,189.27,-0.16
03/20/2023,189.59,190.09,190.7,188.68,-0.18
