Date,Price,Open,High,Low,Change
10/27/2023,858.2,855.66,863.04,854.57,0.37
10/26/2023,855.04,853.47,858.9,849.73,0.23
10/25/2023,853.12,854.4,861.77,852.5,-0.11
10/24/2023,854.04,851.39,856.98,850.49,0.45
10/23/2023,850.23,853.15,855.55,850.67,-0.15
10/20/2023,851.54,859.01,859.98,851.46,-0.76
10/19/2023,858.09,858.61,862.72,854.1,0.03
10/18/2023,857.81,861.41,863.02,857.99,-0.36
10/17/2023,860.9,854.91,863.89,853.28,0.71
10/16/2023,854.87,852.59,858.79,851.39,0.49
10/13/2023,850.68,852.08,855.53,850.29,-0.12
10/12/2023,851.73,859.28,862.48,851.24,-0.77
10/11/2023,858.33,863.51,864.66,856.64,-0.5
10/10/2023,862.61,863.92,866.83,861.5,-0.09
10/09/2023,863.4,855.34,865.02,853.0,0.6
10/06/2023,858.26,857.62,860.96,851.85,0.14
10/05/2023,857.09,855.24,860.48,853.96,0.29
10/04/2023,854.62,858.36,861.46,854.84,-0.35
10/03/2023,857.62,863.57,865.72,855.75,-0.58
10/02/2023,862.59,869.71,872.1,863.14,-0.83
09/29/2023,869.8,868.07,874.87,865.9,0.34
09/28/2023,866.82,861.49,868.59,859.2,0.75
09/27/2023,860.4,866.13,867.48,859.47,-0.55
09/26/2023,865.17,860.4,868.45,858.77,0.67
09/25/2023,859.4,861.38,862.66,855.73,0.02
09/22/2023,859.25,859.74,862.46,856.54,0.0
09/21/2023,859.24,859.71,862.92,857.02,0.02
09/20/2023,859.07,857.86,863.66,856.02,0.18
09/19/2023,857.49,852.22,859.61,849.79,0.69
09/18/2023,851.58,856.54,857.53,850.78,-0.34
09/15/2023,854.52,856.66,859.64,853.77,-0.18
09/14/2023,856.08,853.23,857.89,850.77,0.5
09/13/2023,851.8,852.57,854.08,848.26,0.0
09/12/2023,851.79,853.53,855.01,850.66,-0.07
09/11/2023,852.42,854.14,857.77,851.38,0.16
09/08/2023,851.04,851.18,854.98,849.52,0.1
09/07/2023,850.21,851.9,855.35,847.85,-0.1
09/06/2023,851.09,848.58,853.37,846.25,0.37
09/05/2023,847.93,851.56,853.96,847.59,-0.35
09/04/2023,850.94,851.39,855.23,849.28,0.13
09/01/2023,849.82,859.43,860.6,849.39,-1.08
08/31/2023,859.09,857.42,860.49,854.85,0.23
08/30/2023,857.09,854.85,861.19,851.92,0.38
08/29/2023,853.84,851.41,856.46,849.38,0.32
08/28/2023,851.08,848.89,852.37,847.09,0.47
