Date,Price,Open,High,Low,Change
10/27/2023,1431.33,1429.64,1436.23,1423.82,0.2
10/26/2023,1428.44,1429.33,1434.44,1427.34,-0.01
10/25/2023,1428.58,1423.66,1432.1,1422.35,0.4
10/24/2023,1422.9,1433.41,1437.45,1423.11,-0.62
10/23/2023,1431.77,1430.56,1436.33,1429.06,0.19
10/20/2023,1429.08,1436.11,1438.68,1426.91,-0.4
10/19/2023,1434.8,1427.86,1441.48,1426.31,0.6
10/18/2023,1426.29,1431.41,1433.15,1425.69,-0.31
10/17/2023,1430.78,1423.77,1435.35,1421.57,0.53
10/16/2023,1423.17,1421.7,1429.43,1420.93,0.15
10/13/2023,1421.04,1420.65,1426.06,1418.7,0.08
10/12/2023,1419.92,1423.02,1428.15,1414.79,-0.08
10/11/2023,1421.0,1423.85,1425.45,1417.42,-0.09
10/10/2023,1422.21,1424.08,1430.52,1421.15,-0.06
10/09/2023,1423.06,1420.36,1430.08,1417.96,-0.02
10/06/2023,1423.4,1420.4,1425.91,1416.54,0.28
10/05/2023,1419.47,1421.21,1423.87,1415.7,-0.01
10/04/2023,1419.6,1425.66,1427.3,1419.58,-0.33
10/03/2023,1424.37,1421.97,1428.94,1419.43,0.28
10/02/2023,1420.38,1429.18,1431.77,1421.26,-0.6
09/29/2023,1428.94,1427.1,1431.16,1421.32,0.28
09/28/2023,1425.0,1424.07,1429.9,1421.69,0.19
09/27/2023,1422.27,1431.53,1432.83,1422.81,-0.53
09/26/2023,1429.78,1418.88,1433.2,1416.44,0.91
09/25/2023,1416.95,1422.94,1424.66,1415.42,-0.29
09/22/2023,1421.01,1427.98,1430.76,1416.12,-0.43
09/21/2023,1427.11,1421.29,1433.39,1418.51,0.45
09/20/2023,1420.76,1419.23,1424.21,1415.68,0.15
09/19/2023,1418.57,1415.67,1421.25,1411.01,0.26
09/18/2023,1414.9,1417.56,1419.14,1411.63,-0.05
09/15/2023,1415.57,1415.01,1419.33,1410.97,0.06
09/14/2023,1414.74,1425.04,1428.04,1412.63,-0.59
09/13/2023,1423.17,1426.89,1431.59,1422.43,-0.2
09/12/2023,1426.01,1425.98,1428.66,1421.35,0.1
09/11/2023,1424.64,1431.98,1432.73,1423.65,-0.25
09/08/2023,1428.27,1428.34,1432.29,1425.94,0.11
09/07/2023,1426.66,1431.61,1434.44,1427.03,-0.27
09/06/2023,1430.53,1426.9,1433.85,1423.03,0.34
09/05/2023,1425.67,1423.58,1435.45,1421.45,0.27
09/04/2023,1421.88,1420.96,1426.11,1418.97,0.17
09/01/2023,1419.4,1437.19,1438.31,1419.94,-1.2
08/31/2023,1436.58,1446.38,1448.07,1434.24,-0.64
08/30/2023,1445.78,1434.58,1446.81,1433.28,0.84
08/29/2023,1433.79,1432.0,1438.6,1428.54,0.13
08/28/2023,1431.97,1430.62,1436.34,1425.71,0.18
08/25/2023,1429.41,1435.94,1437.98,1425.25,-0.37
08/24/2023,1434.73,1442.26,1445.44,1430.77,-0.39
08/23/2023,1440.36,1454.23,1456.22,1441.11,-0.86
08/22/2023,1452.89,1460.37,1463.19,1450.42,-0.38
08/21/2023,1458.47,1457.83,1465.35,1456.18,0.22
08/18/2023,1455.28,1456.57,1462.04,1450.31,-0.04
08/17/2023,1455.92,1460.04,1461.98,1453.76,-0.22
08/16/2023,1459.11,1457.85,1463.67,1456.97,0.13
08/15/2023,1457.23,1459.09,1463.8,1454.74,-0.1
08/14/2023,1458.64,1457.41,1462.33,1451.89,0.19
08/11/2023,1455.88,1446.48,1461.15,1445.29,0.7
08/10/2023,1445.82,1441.63,1452.32,1440.6,0.35
08/09/2023,1440.84,1442.93,1449.68,1438.7,-0.1
08/08/2023,1442.34,1438.98,1450.38,1435.65,0.26
08/07/2023,1438.55,1437.33,1440.4,1428.6,0.19
08/04/2023,1435.79,1422.91,1440.1,1420.2,1.0
08/03/2023,1421.64,1421.36,1425.06,1416.46,0.08
08/02/2023,1420.51,1416.15,1427.61,1415.46,0.35
08/01/2023,1415.57,1405.47,1417.36,1402.43,0.74
07/31/2023,1405.13,1403.54,1411.72,1398.84,0.22
07/28/2023,1402.02,1409.76,1411.38,1397.8,-0.47
07/27/2023,1408.69,1408.85,1427.86,1404.96,0.02
07/26/2023,1408.43,1411.27,1416.55,1406.95,-0.15
07/25/2023,1410.56,1417.16,1423.07,1407.81,-0.41
07/24/2023,1416.43,1431.65,1433.88,1414.88,-0.97
07/21/2023,1430.37,1422.28,1434.6,1420.64,0.69
07/20/2023,1420.52,1420.09,1428.76,1416.15,0.13
07/19/2023,1418.72,1420.57,1424.61,1416.28,-0.09
07/18/2023,1420.03,1420.1,1423.95,1414.09,0.04
07/17/2023,1419.44,1426.06,1427.03,1418.52,-0.32
07/14/2023,1423.93,1422.51,1427.59,1415.74,0.15
07/13/2023,1421.78,1418.84,1426.01,1413.44,0.25
07/12/2023,1418.25,1422.16,1428.91,1415.27,-0.22
07/11/2023,1421.39,1429.85,1432.46,1420.23,-0.55
07/10/2023,1429.21,1424.44,1433.36,1423.13,0.41
07/07/2023,1423.41,1425.87,1427.1,1418.29,-0.13
07/06/2023,1425.23,1415.23,1429.51,1410.11,0.75
07/05/2023,1414.66,1408.61,1420.95,1408.05,0.48
07/04/2023,1407.86,1423.64,1427.6,1407.8,-1.06
07/03/2023,1422.88,1436.15,1437.14,1420.6,-0.83
06/30/2023,1434.79,1437.19,1440.98,1430.23,-0.12
06/29/2023,1436.45,1428.85,1440.0,1424.33,0.58
06/28/2023,1428.14,1424.36,1436.86,1421.32,0.31
06/27/2023,1423.77,1423.69,1427.18,1417.19,0.06
06/26/2023,1422.95,1426.15,1428.47,1418.49,-0.12
06/23/2023,1424.73,1422.93,1428.14,1418.39,0.17
06/22/2023,1422.29,1415.81,1429.1,1413.11,0.51
06/21/2023,1415.1,1407.05,1418.08,1404.14,0.64
06/20/2023,1406.1,1401.69,1410.45,1395.87,0.41
06/19/2023,1400.36,1397.48,1404.86,1395.86,0.33
06/16/2023,1395.73,1390.39,1399.42,1387.94,0.43
06/15/2023,1389.76,1380.54,1394.59,1377.36,0.72
06/14/2023,1379.88,1368.57,1383.78,1365.44,0.87
06/13/2023,1367.98,1382.19,1384.12,1367.81,-1.0
06/12/2023,1381.78,1384.39,1390.23,1381.06,-0.12
06/09/2023,1383.48,1398.03,1400.39,1382.69,-0.94
06/08/2023,1396.65,1400.13,1402.52,1393.85,-0.2
06/07/2023,1399.45,1389.61,1400.96,1387.3,0.74
06/06/2023,1389.22,1394.28,1396.56,1387.49,-0.3
06/05/2023,1393.4,1398.95,1402.0,1393.44,-0.34
06/02/2023,1398.12,1413.64,1414.47,1397.17,-0.98
06/01/2023,1412.01,1412.32,1417.65,1408.81,0.04
05/31/2023,1411.41,1417.19,1419.48,1410.57,-0.36
05/30/2023,1416.5,1418.64,1420.03,1412.61,-0.06
05/29/2023,1417.42,1419.51,1422.51,1416.32,-0.07
05/26/2023,1418.42,1427.18,1428.73,1418.48,-0.59
05/25/2023,1426.9,1417.68,1428.49,1414.57,0.7
05/24/2023,1417.05,1422.17,1424.01,1416.91,-0.26
05/23/2023,1420.79,1421.01,1424.61,1414.88,0.03
05/22/2023,1420.3,1433.08,1435.63,1419.94,-0.78
05/19/2023,1431.48,1437.64,1439.39,1428.54,-0.39
05/18/2023,1437.05,1446.9,1449.64,1435.75,-0.63
05/17/2023,1446.17,1458.66,1460.03,1444.3,-0.81
05/16/2023,1457.93,1452.53,1461.62,1449.84,0.42
05/15/2023,1451.8,1457.38,1458.92,1449.64,-0.31
05/12/2023,1456.25,1452.86,1460.91,1450.28,0.25
05/11/2023,1452.6,1447.45,1457.01,1445.05,0.39
05/10/2023,1446.9,1453.93,1455.68,1446.71,-0.43
05/09/2023,1453.21,1455.31,1458.31,1449.64,-0.07
05/08/2023,1454.17,1454.1,1462.31,1451.54,0.18
05/05/2023,1451.59,1457.31,1458.91,1445.81,-0.35
05/04/2023,1456.7,1476.85,1479.14,1456.49,-1.29
05/03/2023,1475.76,1476.83,1478.91,1469.01,-0.05
05/02/2023,1476.43,1473.76,1478.07,1468.69,0.23
05/01/2023,1473.04,1476.74,1477.88,1470.41,-0.08
04/28/2023,1474.23,1477.41,1479.49,1468.83,-0.17
04/27/2023,1476.7,1477.9,1484.42,1475.19,-0.03
04/26/2023,1477.16,1471.76,1484.86,1465.23,0.4
04/25/2023,1471.22,1471.96,1478.75,1469.26,0.0
04/24/2023,1471.22,1462.22,1474.19,1460.15,0.73
04/21/2023,1460.57,1452.34,1463.29,1449.13,0.62
04/20/2023,1451.6,1457.16,1460.26,1446.52,-0.34
04/19/2023,1456.56,1447.81,1462.29,1442.7,0.65
04/18/2023,1447.09,1441.83,1449.39,1438.84,0.4
04/17/2023,1441.26,1433.51,1445.69,1432.34,0.49
