Date,Price,Open,High,Low,Change
10/27/2023,1642.42,1641.61,1648.53,1635.49,0.13
10/26/2023,1640.27,1638.49,1647.23,1634.94,0.14
10/25/2023,1637.94,1634.71,1643.6,1632.78,0.24
10/24/2023,1634.02,1645.55,1650.88,1634.1,-0.6
10/23/2023,1643.83,1642.03,1648.82,1641.28,0.2
10/20/2023,1640.48,1648.26,1649.75,1635.37,-0.36
10/19/2023,1646.34,1645.54,1655.31,1643.33,0.17
10/18/2023,1643.59,1649.06,1651.55,1641.6,-0.25
10/17/2023,1647.66,1647.0,1653.44,1642.79,0.04
10/16/2023,1646.93,1642.4,1651.27,1640.88,0.32
10/13/2023,1641.72,1642.89,1650.71,1638.95,-0.02
10/12/2023,1642.09,1649.56,1655.37,1639.39,-0.34
10/11/2023,1647.73,1649.61,1652.82,1642.14,-0.01
10/10/2023,1647.82,1649.14,1654.52,1645.66,-0.01
10/09/2023,1648.01,1644.05,1653.38,1639.59,0.15
10/06/2023,1645.53,1641.46,1649.42,1636.33,0.31
10/05/2023,1640.43,1641.31,1645.13,1635.6,0.07
10/04/2023,1639.23,1644.94,1648.67,1639.57,-0.26
10/03/2023,1643.5,1641.09,1648.59,1637.4,0.29
10/02/2023,1638.67,1650.02,1652.3,1639.63,-0.62
09/29/2023,1648.89,1647.8,1652.23,1639.87,0.17
09/28/2023,1646.06,1645.44,1655.91,1642.4,0.15
09/27/2023,1643.6,1646.37,1649.8,1636.59,-0.06
09/26/2023,1644.59,1635.33,1649.21,1633.03,0.66
09/25/2023,1633.84,1635.41,1638.66,1628.97,0.08
09/22/2023,1632.59,1647.27,1649.6,1631.22,-0.82
09/21/2023,1646.17,1646.48,1654.33,1639.44,0.05
09/20/2023,1645.36,1646.89,1649.59,1637.79,-0.05
09/19/2023,1646.16,1639.63,1648.21,1634.56,0.45
09/18/2023,1638.84,1646.49,1649.31,1638.42,-0.38
09/15/2023,1645.01,1650.56,1654.45,1643.72,-0.29
09/14/2023,1649.8,1658.13,1661.96,1646.11,-0.41
09/13/2023,1656.65,1657.36,1662.54,1652.61,0.05
09/12/2023,1655.83,1659.23,1662.9,1653.77,-0.12
09/11/2023,1657.79,1668.11,1670.1,1657.99,-0.37
09/08/2023,1663.89,1665.13,1668.3,1662.46,0.06
09/07/2023,1662.95,1669.09,1671.84,1663.09,-0.31
09/06/2023,1668.04,1671.07,1679.86,1659.69,-0.1
09/05/2023,1669.69,1664.23,1677.94,1662.67,0.4
09/04/2023,1663.01,1659.67,1668.37,1657.91,0.27
09/01/2023,1658.53,1680.02,1680.91,1658.93,-1.24
08/31/2023,1679.35,1683.86,1686.03,1674.1,-0.23
08/30/2023,1683.21,1666.71,1684.86,1666.23,1.02
08/29/2023,1666.29,1669.04,1674.78,1663.4,-0.13
08/28/2023,1668.4,1665.92,1671.26,1662.29,0.23
08/25/2023,1664.6,1673.85,1676.1,1661.64,-0.46
08/24/2023,1672.33,1690.18,1692.05,1670.26,-0.93
08/23/2023,1688.0,1707.11,1709.27,1687.21,-1.03
08/22/2023,1705.58,1710.27,1713.16,1701.48,-0.14
08/21/2023,1707.95,1706.44,1713.71,1704.69,0.15
08/18/2023,1705.43,1707.51,1713.14,1699.8,-0.09
08/17/2023,1706.9,1709.2,1711.09,1703.38,-0.03
08/16/2023,1707.37,1698.43,1712.2,1696.63,0.57
08/15/2023,1697.65,1696.97,1704.31,1691.8,0.08
08/14/2023,1696.35,1688.27,1699.14,1683.55,0.45
08/11/2023,1688.68,1670.03,1693.45,1667.72,1.17
08/10/2023,1669.17,1670.58,1682.54,1669.25,-0.05
08/09/2023,1669.98,1678.94,1685.59,1670.2,-0.5
08/08/2023,1678.29,1672.11,1682.82,1668.36,0.42
08/07/2023,1671.25,1663.67,1673.19,1655.19,0.53
08/04/2023,1662.44,1653.09,1671.03,1648.78,0.67
08/03/2023,1651.43,1651.76,1656.35,1641.07,0.02
08/02/2023,1651.07,1647.46,1660.85,1645.74,0.25
08/01/2023,1646.94,1641.19,1654.0,1636.2,0.42
07/31/2023,1640.13,1636.04,1643.77,1632.17,0.28
07/28/2023,1635.59,1643.09,1648.64,1629.72,-0.42
07/27/2023,1642.47,1645.08,1662.75,1639.45,-0.11
07/26/2023,1644.29,1647.05,1652.28,1640.32,-0.12
07/25/2023,1646.27,1643.88,1648.17,1635.07,0.19
07/24/2023,1643.07,1654.5,1657.11,1637.18,-0.62
07/21/2023,1653.4,1643.8,1658.34,1642.3,0.68
07/20/2023,1642.26,1640.59,1647.91,1634.68,0.2
07/19/2023,1639.04,1650.23,1652.55,1629.9,-0.59
07/18/2023,1648.74,1652.06,1656.43,1645.29,-0.14
07/17/2023,1651.1,1661.2,1664.2,1651.66,-0.52
07/14/2023,1659.71,1664.41,1668.65,1655.02,-0.23
07/13/2023,1663.6,1655.7,1665.13,1650.74,0.52
07/12/2023,1655.05,1670.71,1679.46,1654.56,-0.9
07/11/2023,1670.13,1671.68,1674.38,1661.59,-0.04
07/10/2023,1670.77,1666.45,1675.06,1665.42,0.29
07/07/2023,1665.98,1668.31,1671.7,1661.09,-0.11
07/06/2023,1667.81,1656.67,1672.15,1651.85,0.71
07/05/2023,1656.08,1646.21,1659.89,1645.19,0.65
07/04/2023,1645.38,1656.13,1660.48,1645.34,-0.58
07/03/2023,1655.03,1669.99,1672.92,1653.56,-0.94
06/30/2023,1670.72,1669.35,1677.58,1659.88,0.19
06/29/2023,1667.57,1654.52,1669.43,1650.29,0.83
06/28/2023,1653.8,1656.57,1667.28,1652.75,-0.13
