Date,Price,Open,High,Low,Change
10/27/2023,173.23,173.075,173.665,172.34,0.16
10/26/2023,172.96,172.965,173.95,172.805,0.03
10/25/2023,172.9,171.835,173.12,171.685,0.66
10/24/2023,171.77,171.715,172.28,171.34,0.13
10/23/2023,171.54,172.59,173.19,171.6,-0.51
10/20/2023,172.42,173.47,173.845,172.455,-0.52
10/19/2023,173.32,173.1,173.95,172.86,0.24
10/18/2023,172.91,173.0,173.52,172.23,-0.01
10/17/2023,172.92,172.49,173.57,172.315,0.28
10/16/2023,172.44,172.935,173.51,172.405,-0.22
10/13/2023,172.82,172.47,173.055,172.195,0.24
10/12/2023,172.41,171.32,172.765,170.73,0.74
10/11/2023,171.14,171.705,171.865,171.025,-0.23
10/10/2023,171.53,172.13,172.84,171.595,-0.29
10/09/2023,172.03,171.69,173.05,171.6,0.2
10/06/2023,171.69,171.935,173.27,171.455,-0.09
10/05/2023,171.84,172.745,173.01,171.785,-0.46
10/04/2023,172.64,173.905,174.205,172.44,-0.66
10/03/2023,173.78,173.285,174.14,172.995,0.39
10/02/2023,173.11,172.695,173.6,172.295,0.28
09/29/2023,172.63,172.51,172.84,171.385,0.15
09/28/2023,172.37,173.385,173.49,172.115,-0.47
09/27/2023,173.19,173.12,173.9,172.265,0.14
09/26/2023,172.94,171.365,173.27,171.08,1.04
09/25/2023,171.16,170.785,171.615,170.15,0.35
09/22/2023,170.57,171.275,171.57,170.16,-0.36
09/21/2023,171.19,170.43,171.925,170.21,0.48
09/20/2023,170.37,169.93,170.755,169.2,0.28
09/19/2023,169.89,169.35,170.085,168.79,0.35
09/18/2023,169.29,169.875,169.955,169.035,-0.28
09/15/2023,169.76,169.895,170.015,169.22,-0.04
09/14/2023,169.82,169.69,170.035,169.055,0.19
09/13/2023,169.5,169.52,170.235,169.11,0.04
09/12/2023,169.43,169.35,169.795,168.925,0.12
09/11/2023,169.23,170.45,170.48,169.195,-0.6
09/08/2023,170.26,170.265,170.63,169.865,0.1
09/07/2023,170.09,170.165,170.81,169.695,0.03
09/06/2023,170.04,169.61,170.62,169.385,0.33
09/05/2023,169.48,168.295,170.42,168.07,0.76
09/04/2023,168.2,168.06,168.525,167.715,0.16
09/01/2023,167.93,169.025,169.13,167.24,-0.62
08/31/2023,168.98,168.69,169.18,168.215,0.2
08/30/2023,168.64,168.045,169.025,168.03,0.4
08/29/2023,167.97,168.775,169.385,167.98,-0.44
08/28/2023,168.72,168.855,169.245,168.175,-0.01
08/25/2023,168.74,169.38,169.625,168.265,-0.3
08/24/2023,169.24,169.34,169.67,168.065,0.07
08/23/2023,169.13,171.08,171.265,169.18,-1.06
08/22/2023,170.94,171.045,171.27,170.245,0.05
08/21/2023,170.85,171.09,171.635,170.735,-0.06
08/18/2023,170.96,171.115,171.73,170.225,-0.05
08/17/2023,171.05,171.425,171.67,170.555,-0.12
08/16/2023,171.26,170.89,171.84,170.45,0.25
08/15/2023,170.83,171.09,171.37,170.325,-0.13
08/14/2023,171.06,170.195,171.33,169.89,0.52
08/11/2023,170.17,168.47,170.64,168.32,1.05
08/10/2023,168.41,167.955,168.845,167.37,0.31
08/09/2023,167.89,168.54,169.185,167.525,-0.36
08/08/2023,168.5,167.525,169.275,167.175,0.63
08/07/2023,167.44,167.01,167.68,166.33,0.29
08/04/2023,166.95,166.555,168.055,166.085,0.33
08/03/2023,166.4,166.565,167.1,165.86,-0.05
08/02/2023,166.49,165.435,167.025,165.11,0.67
08/01/2023,165.38,163.925,165.66,163.485,0.93
07/31/2023,163.86,163.31,164.06,162.835,0.37
07/28/2023,163.26,164.585,164.68,163.32,-0.77
07/27/2023,164.53,162.985,164.685,162.485,1.0
07/26/2023,162.9,163.42,164.29,162.555,-0.28
07/25/2023,163.36,163.94,164.535,163.075,-0.32
07/24/2023,163.88,164.58,164.885,163.475,-0.4
07/21/2023,164.53,163.5,165.115,163.29,0.72
07/20/2023,163.36,162.365,163.845,161.505,0.7
07/19/2023,162.23,161.935,162.555,161.465,0.22
07/18/2023,161.88,161.725,162.245,160.835,0.14
07/17/2023,161.65,162.43,162.66,161.675,-0.41
07/14/2023,162.31,162.0,162.69,161.21,0.23
07/13/2023,161.94,162.89,163.555,161.84,-0.56
07/12/2023,162.85,165.055,165.555,162.755,-1.3
07/11/2023,165.0,166.05,166.33,164.815,-0.6
07/10/2023,165.99,165.875,167.055,165.835,0.11
07/07/2023,165.81,167.41,167.56,165.56,-0.93
07/06/2023,167.36,166.705,168.075,166.21,0.43
07/05/2023,166.65,165.345,167.01,165.285,0.83
07/04/2023,165.28,166.535,167.01,165.125,-0.71
07/03/2023,166.47,167.965,168.085,166.28,-0.8
06/30/2023,167.81,168.77,168.975,167.74,-0.52
06/29/2023,168.68,167.16,168.87,166.61,0.95
06/28/2023,167.1,165.88,167.69,165.605,0.77
06/27/2023,165.83,166.715,167.08,165.37,-0.5
06/26/2023,166.66,167.145,167.255,166.11,-0.26
06/23/2023,167.1,165.835,167.495,165.53,0.8
06/22/2023,165.78,164.635,166.43,164.295,0.73
06/21/2023,164.58,164.68,165.675,164.325,-0.02
06/20/2023,164.61,164.165,164.885,163.42,0.35
06/19/2023,164.03,163.32,164.29,163.185,0.52
06/16/2023,163.18,162.425,163.77,162.11,0.5
06/15/2023,162.37,162.73,164.32,162.355,-0.19
06/14/2023,162.68,161.87,163.515,161.58,0.53
06/13/2023,161.83,163.98,164.135,161.745,-1.28
06/12/2023,163.93,164.265,165.15,163.725,-0.18
06/09/2023,164.22,165.46,165.71,164.11,-0.66
06/08/2023,165.31,166.875,166.99,165.39,-0.91
06/07/2023,166.82,165.695,166.975,165.255,0.71
06/06/2023,165.64,166.035,166.31,165.27,-0.19
06/05/2023,165.95,166.63,167.275,165.95,-0.4
06/02/2023,166.62,167.75,167.83,165.7,-0.58
06/01/2023,167.6,168.74,169.175,167.61,-0.62
05/31/2023,168.65,168.51,169.635,167.91,0.12
05/30/2023,168.45,169.255,169.415,168.11,-0.4
05/29/2023,169.13,168.95,169.395,168.65,0.17
05/26/2023,168.85,169.905,169.995,168.84,-0.62
05/25/2023,169.9,168.44,170.015,168.115,0.89
05/24/2023,168.4,168.465,168.865,167.73,0.05
05/23/2023,168.32,167.875,168.755,167.04,0.3
05/22/2023,167.82,169.53,169.68,167.76,-1.03
05/19/2023,169.56,170.535,170.775,169.285,-0.55
05/18/2023,170.49,170.455,171.025,169.805,0.06
05/17/2023,170.39,171.315,171.46,170.17,-0.51
05/16/2023,171.26,170.415,171.435,170.045,0.53
05/15/2023,170.36,171.19,171.27,170.08,-0.48
05/12/2023,171.18,169.875,171.3,169.585,0.79
05/11/2023,169.83,168.315,170.32,168.015,0.93
05/10/2023,168.26,169.145,169.335,168.155,-0.49
05/09/2023,169.09,168.47,169.26,168.145,0.43
05/08/2023,168.36,167.95,168.99,167.93,0.29
05/05/2023,167.87,168.625,168.685,167.555,-0.42
05/04/2023,168.58,170.12,170.21,168.2,-0.83
05/03/2023,169.99,171.04,171.115,169.34,-0.58
05/02/2023,170.98,171.095,171.225,170.37,0.0
05/01/2023,170.98,170.47,171.21,170.25,0.33
04/28/2023,170.42,170.655,170.985,170.22,-0.11
04/27/2023,170.6,170.51,171.55,170.29,0.09
04/26/2023,170.45,170.875,170.965,170.0,-0.22
04/25/2023,170.82,169.815,171.24,169.215,0.62
04/24/2023,169.76,169.525,170.445,169.285,0.22
04/21/2023,169.39,168.67,169.85,168.32,0.46
04/20/2023,168.61,169.45,169.825,168.025,-0.47
04/19/2023,169.4,168.095,170.26,167.395,0.81
04/18/2023,168.04,168.105,168.34,167.61,-0.01
04/17/2023,168.05,166.19,168.52,166.09,1.15
04/14/2023,166.14,165.87,166.605,164.885,0.22
04/13/2023,165.78,168.55,169.16,165.525,-1.61
04/12/2023,168.49,168.47,169.24,168.075,0.04
04/11/2023,168.42,168.28,168.77,167.68,0.11
